,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_revenue_dollars,plot_gross_margin_dollars,,Zeros,NAS
158,manang,MANANG_S8.1_P2312_R3,2023,1,191,434.32,1068.54,443.22,,0,0
159,manang,MANANG_S8.1_P2312_R3,2024,2,230,396.0979385,693,66.90206155,,0,0
160,manang,MANANG_S13_P0000_R7,2023,1,171.5,513.1,882.618,198.018,,0,0
161,manang,MANANG_S13_P0000_R1,2023,1,182.5,513.1,567.264,-128.336,,0,0
162,manang,MANANG_S13_P0000_R1,2024,2,221.5,311.9154218,385,-148.4154217,,0,0
163,manang,MANANG_S4_P3412_R3,2023,1,191,434.32,816.09,190.77,,0,0
164,manang,MANANG_S4_P3412_R3,2024,2,230,389.3020102,726,106.6979898,,0,0
165,manang,MANANG_S3_P2312_R3,2023,1,193.5,501.3472,568.75,-126.0972,,0,0
166,manang,MANANG_S3_P2312_R3,2024,2,221.5,402.6359803,858,233.8640197,,0,0
167,manang,MANANG_S11_P1212_R1,2023,1,213,448.4972,0,-661.4972,,0,0
168,manang,MANANG_S11_P1212_R1,2024,2,230,386.2641527,231,-385.2641527,,0,0
169,manang,MANANG_S1.1_P2312_R2,2023,1,213,458.82,1110.45,438.63,,0,0
170,manang,MANANG_S1.1_P2312_R2,2024,2,213,315.7692,495,-33.7692,,0,0
171,manang,MANANG_S10.1_P2312_R1,2023,1,171.5,409.82,896.94,315.62,,0,0
172,manang,MANANG_S10.1_P2312_R1,2024,2,230,398.2465015,462,-166.2465015,,0,0
173,manang,MANANG_S1.3_P2312_R3,2023,1,191,479.32,1080.42,410.1,,0,0
174,manang,MANANG_S1.3_P2312_R3,2024,2,221.5,498.4422485,627,-92.94224845,,0,0
175,manang,MANANG_S10.2_P3123_R3,2023,1,213,434.32,944.46,297.14,,0,0
176,manang,MANANG_S10.2_P3123_R3,2024,2,219,354.1849807,693,119.8150194,,0,0
177,manang,MANANG_S4_P3412_R1,2023,1,213,434.32,1035.54,388.22,,0,0
178,manang,MANANG_S4_P3412_R1,2024,2,230,389.3020102,462,-157.3020102,,0,0
179,manang,MANANG_S1.3_P3123_R3,2023,1,213,479.32,1038.18,345.86,,0,0
180,manang,MANANG_S1.3_P3123_R3,2024,2,193.5,189.3017,195,-187.8017,,0,0
181,manang,MANANG_S1.1_P1231_R3,2023,1,215.5,501.3472,659.1,-57.7472,,0,0
182,manang,MANANG_S1.1_P1231_R3,2024,2,213,294.2692,660,152.7308,,0,0
183,manang,MANANG_S10.1_P1231_R3,2023,1,213,448.4972,0,-661.4972,,0,0
184,manang,MANANG_S10.1_P1231_R3,2024,2,230,393.2400664,693,69.7599336,,0,0
185,manang,MANANG_S10.1_P2312_R2,2023,1,204.5,409.82,978.78,364.46,,0,0
186,manang,MANANG_S10.1_P2312_R2,2024,2,230,398.2465015,561,-67.2465015,,0,0
187,manang,MANANG_S5_P1234_R1,2023,1,215.5,518.5972,589.55,-144.5472,,0,0
188,manang,MANANG_S5_P1234_R1,2024,2,230,397.1617173,396,-231.1617173,,0,0
189,manang,MANANG_S11_P2121_R3,2023,1,202,434.32,949.74,313.42,,0,0
190,manang,MANANG_S11_P2121_R3,2024,2,210.5,371.5268374,660,77.97316265,,0,0
191,manang,MANANG_S3_P2312_R2,2023,1,204.5,501.3472,451.75,-254.0972,,0,0
