,site,plot,year,annual_plot_operational_costs_dollars,annual_plot_material_input_costs_dollars,annual_plot_revenue_dollars,annual_plot_gross_margin_dollars
265,roseworthy,ROSEWORTHY_S5_P0000_R1,2023,274.0,779.1294,1263.282,210.1525999999999
266,roseworthy,ROSEWORTHY_S6_BUFFER_R2,2024,22.0,30.25,0.0,-52.25
267,roseworthy,ROSEWORTHY_S1.1_P3123_R3,2024,182.5,394.53,632.35883672,55.32883672000003
268,roseworthy,ROSEWORTHY_S1.1_P3123_R3,2023,279.0,676.1894,1405.666,450.47659999999996
269,roseworthy,ROSEWORTHY_S1.1_BUFFER_R1,2024,22.0,121.0,0.0,-143.0
270,roseworthy,ROSEWORTHY_S6_P0000_R3,2024,191.0,174.45600000000002,0.765421701898,-364.690578298102
271,roseworthy,ROSEWORTHY_S6_P0000_R3,2023,257.0,676.1894,1152.69,219.50060000000008
272,roseworthy,ROSEWORTHY_S1.1_BUFFER_R3,2024,22.0,90.75,0.0,-112.75
273,roseworthy,ROSEWORTHY_S4_BUFFER_R3,2024,22.0,121.0,0.0,-143.0
274,roseworthy,ROSEWORTHY_S4_P1231_R2,2024,171.5,355.23,569.1751782485001,42.44517824850004
275,roseworthy,ROSEWORTHY_S4_P1231_R2,2023,292.5,663.2794,1151.472,195.69259999999997
276,roseworthy,ROSEWORTHY_S4_BUFFER_R2,2024,22.0,121.0,0.0,-143.0
277,roseworthy,ROSEWORTHY_S4_P3123_R2,2024,182.5,183.18,677.3766718621999,311.69667186219993
278,roseworthy,ROSEWORTHY_S4_P3123_R2,2023,270.5,642.6094,1436.9699999999998,523.8605999999997
279,roseworthy,ROSEWORTHY_S4_P2312_R2,2024,171.5,148.98,412.9893308424,92.50933084240003
280,roseworthy,ROSEWORTHY_S4_P2312_R2,2023,270.5,900.4513999999999,1381.5700000000002,210.61860000000024
281,roseworthy,ROSEWORTHY_S2_P1212_R3,2024,191.0,205.93599999999998,627.4542367500001,230.51823675000009
282,roseworthy,ROSEWORTHY_S2_P1212_R3,2023,292.5,870.8794,1021.8,-141.57940000000008
283,roseworthy,ROSEWORTHY_S1.1_P1231_R2,2024,191.0,215.93599999999998,620.47371936,213.53771936000004
284,roseworthy,ROSEWORTHY_S1.1_P1231_R2,2023,281.5,870.8794,726.7,-425.6794
285,roseworthy,ROSEWORTHY_S5_BUFFER_R2,2024,22.0,30.25,0.0,-52.25
