,site,plot,year,annual_plot_operational_costs_dollars,annual_plot_material_input_costs_dollars,annual_plot_revenue_dollars,annual_plot_gross_margin_dollars
191,hart,HART_S7_P4123_R3,2023,202.0,235.75835,1130.0159999999998,692.2576499999998
192,hart,HART_S3_P3412_R2,2024,213.0,193.85440000000003,605.834,198.97959999999992
193,hart,HART_S3_P3412_R2,2023,204.5,222.5193,1014.65,587.6306999999999
194,hart,HART_S4.3_BUFFER_R2,2024,11.0,152.0,0.0,-163.0
195,hart,HART_S1.2_P2312_R3,2024,213.0,218.720449485,216.646,-215.074449485
196,hart,HART_S1.2_P2312_R3,2023,202.0,246.75835,1033.56,584.8016499999999
197,hart,HART_S2.1_P0000_R2,2024,213.0,221.213910535,614.1482,179.93428946499998
198,hart,HART_S2.1_P0000_R2,2023,202.0,238.25834999999998,1032.57,592.31165
199,hart,HART_S1.3_BUFFER_R1,2024,11.0,114.0,0.0,-125.0
200,hart,HART_S9_P2341_R2,2024,213.0,259.59511175,215.82,-256.77511175
201,hart,HART_S9_P2341_R2,2023,213.0,236.5018,289.852,-159.64980000000003
202,hart,HART_S4.2_BUFFER_R2,2024,11.0,152.0,0.0,-163.0
203,hart,HART_S6_BUFFER_R3,2024,11.0,152.0,0.0,-163.0
204,hart,HART_S7_P3412_R1,2024,213.0,252.90329390000002,72.712,-393.1912939
205,hart,HART_S7_P3412_R1,2023,202.0,246.75835,1249.71,800.95165
206,hart,HART_S8_BUFFER_R3,2024,11.0,190.0,0.0,-201.0
207,hart,HART_S4.1_BUFFER_R2,2024,11.0,152.0,0.0,-163.0
208,hart,HART_S10.3_P1231_R1,2024,213.0,270.17947586,303.6,-179.57947586
209,hart,HART_S10.3_P1231_R1,2023,204.5,227.7693,922.236,489.9667
210,hart,HART_S1.2_P2312_R2,2024,213.0,218.720449485,151.98,-279.740449485
211,hart,HART_S1.2_P2312_R2,2023,202.0,246.75835,947.43,498.67164999999994
212,hart,HART_S9_P2341_R1,2024,213.0,259.59511175,301.95,-170.64511175
213,hart,HART_S9_P2341_R1,2023,213.0,236.50179999999997,490.136,40.63420000000005
214,hart,HART_S10.3_P2312_R1,2024,213.0,232.978155215,411.24,-34.73815521499998
215,hart,HART_S10.3_P2312_R1,2023,202.0,246.75835,923.67,474.91164999999995
216,hart,HART_S4.2_P1234_R2,2024,213.0,261.8246765,454.74,-20.0846765
217,hart,HART_S4.2_P1234_R2,2023,204.5,222.5193,758.5500000000001,331.5307000000001
218,hart,HART_S3_BUFFER_R3,2024,11.0,152.0,0.0,-163.0
219,hart,HART_S4.3_BUFFER_R3,2024,11.0,152.0,0.0,-163.0
220,hart,HART_S4.2_P3412_R2,2024,213.0,217.28229034,120.094,-310.18829034
221,hart,HART_S4.2_P3412_R2,2023,213.0,236.5018,356.406,-93.0958
222,hart,HART_S4.3_BUFFER_R1,2024,11.0,152.0,0.0,-163.0
223,hart,HART_S8_P4123_R2,2024,204.5,280.32439999999997,440.05,-44.77439999999996
224,hart,HART_S8_P4123_R2,2023,202.0,246.75834999999998,898.59,449.8316500000001
225,hart,HART_S6_P2341_R1,2024,213.0,227.60315159,225.06,-215.54315159
226,hart,HART_S6_P2341_R1,2023,213.0,236.50179999999997,311.0,-138.50179999999997
227,hart,HART_S9_BUFFER_R1,2024,11.0,152.0,0.0,-163.0
228,hart,HART_S3_P2341_R3,2024,204.5,280.3244,630.5,145.67559999999997
229,hart,HART_S3_P2341_R3,2023,202.0,246.75835,1047.09,598.3316499999999
230,hart,HART_S5_P0000_R6,2024,204.5,276.44440000000003,0.0,-480.94440000000003
231,hart,HART_S5_P0000_R6,2023,204.5,222.5193,1340.3,913.2807
232,hart,HART_S5_P0000_R9,2024,204.5,276.4444,0.0,-480.9444
233,hart,HART_S5_P0000_R9,2023,204.5,222.5193,787.15,360.1307
234,hart,HART_S4.1_P3412_R3,2024,213.0,242.75806106500002,160.32399999999998,-295.43406106500004
235,hart,HART_S4.1_P3412_R3,2023,213.0,215.00179999999997,436.022,8.020200000000017
236,hart,HART_S9_P1234_R2,2024,221.5,273.516,102.008,-393.00800000000004
237,hart,HART_S9_P1234_R2,2023,204.5,235.93619999999996,0.0,-440.4362
238,hart,HART_S4.2_P1234_R3,2024,213.0,261.8246765,661.98,187.1553235
239,hart,HART_S4.2_P1234_R3,2023,204.5,222.5193,1250.6,823.5807
240,hart,HART_S1.2_BUFFER_R2,2024,11.0,114.0,0.0,-125.0
241,hart,HART_S9_P2341_R3,2024,213.0,259.59511175,257.73,-214.86511174999998
242,hart,HART_S9_P2341_R3,2023,213.0,236.50180000000003,388.128,-61.373800000000045
243,hart,HART_S6_P1234_R3,2024,221.5,273.51599999999996,427.314,-67.70199999999994
244,hart,HART_S6_P1234_R3,2023,204.5,222.5193,1212.9,785.8807000000002
245,hart,HART_S10.2_P3123_R1,2024,202.0,264.42584117,286.56,-179.86584117
246,hart,HART_S10.2_P3123_R1,2023,202.0,213.25835,1319.246,903.98765
247,hart,HART_S5_P0000_R8,2024,204.5,276.44440000000003,0.0,-480.94440000000003
248,hart,HART_S5_P0000_R8,2023,204.5,222.5193,817.7,390.68070000000006
249,hart,HART_S8_P1234_R2,2024,213.0,252.29387340500003,698.2800000000001,232.98612659500006
250,hart,HART_S8_P1234_R2,2023,204.5,222.5193,931.45,504.43070000000006
251,hart,HART_S7_P3412_R3,2024,213.0,252.90329390000002,519.116,53.21270609999996
252,hart,HART_S7_P3412_R3,2023,202.0,246.75834999999998,1080.75,631.99165
253,hart,HART_S10.1_BUFFER_R2,2024,11.0,114.0,0.0,-125.0
254,hart,HART_S3_BUFFER_R1,2024,11.0,152.0,0.0,-163.0
255,hart,HART_S10.1_P3123_R3,2024,193.5,241.29500000000002,372.32,-62.47500000000002
256,hart,HART_S10.1_P3123_R3,2023,193.5,190.25835,1151.472,767.7136499999999
