,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_yield_kilograms_per_hectare,plot_main_crop,plot_revenue_dollars,plot_gross_margin_dollars
988,streatham,STREATHAM_S2.4_P3412_R2,2024,2,259.5,1111.9089351449275,TBD,TBD,995.3703705,-376.0385646449274
989,streatham,STREATHAM_S6.1_P3123_R2,2023,1,296.0,1399.8675999999998,TBD,TBD,1719.96,24.092400000000225
990,streatham,STREATHAM_S6.1_P3123_R2,2024,2,218.0,646.475,TBD,TBD,0.0,-864.475
991,streatham,STREATHAM_S2.2_P4123_R1,2023,1,296.0,1399.8675999999998,TBD,TBD,1884.96,189.09240000000023
992,streatham,STREATHAM_S2.2_P4123_R1,2024,2,240.0,836.633,TBD,TBD,1657.57575744,580.9427574399999
993,streatham,STREATHAM_S1.1_P2121_R2,2023,1,296.0,1352.3675999999998,TBD,TBD,1815.0,166.6324000000002
994,streatham,STREATHAM_S1.1_P2121_R2,2024,2,248.5,852.0550362318841,TBD,TBD,2033.193041444,932.638005212116
995,streatham,STREATHAM_S9.3_P1212_R2,2023,1,276.5,1173.95,TBD,TBD,2963.208,1512.758
996,streatham,STREATHAM_S9.3_P1212_R2,2024,2,215.5,909.8117699275363,TBD,TBD,974.07407394,-151.2376959875363
997,streatham,STREATHAM_S9.3_P2121_R2,2023,1,296.0,1399.8675999999998,TBD,TBD,1722.93,27.062400000000252
998,streatham,STREATHAM_S9.3_P2121_R2,2024,2,215.5,767.4003496376812,TBD,TBD,1417.0437707889,434.14342115121883
999,streatham,STREATHAM_S8_P1231_R2,2023,1,248.5,994.926,TBD,TBD,0.0,-1243.426
1000,streatham,STREATHAM_S8_P1231_R2,2024,2,215.5,767.276393115942,TBD,TBD,1619.573512814,636.7971196980579
1001,streatham,STREATHAM_S3_P4123_R1,2023,1,296.0,1399.8675999999998,TBD,TBD,1928.85,232.9824000000001
1002,streatham,STREATHAM_S3_P4123_R1,2024,2,240.0,836.633,TBD,TBD,0.0,-1076.633
1003,streatham,STREATHAM_S12_P0000_R4,2023,1,296.0,1399.8675999999998,TBD,TBD,1829.52,133.65240000000017
1004,streatham,STREATHAM_S2.4_P1234_R3,2023,1,292.5,1266.3500000000001,TBD,TBD,1210.68,-348.1700000000001
